hid,atmosphere,cleanliness,facilities,location,security,staff,score
237,8.7,9.6,9.0,9.8,8.9,9.6,9.3
238,8.5,9.0,8.3,9.7,8.8,9.6,8.9
239,9.7,10.0,9.6,9.4,9.7,10.0,9.7
24,7.5,9.0,8.0,8.5,10.0,8.0,8.6
240,7.6,8.6,8.0,8.5,8.6,8.5,8.3
241,8.0,7.5,7.8,9.1,7.9,9.1,8.3
242,7.8,9.0,8.2,8.7,8.3,9.2,8.5
243,8.9,8.9,8.4,8.3,8.5,9.4,8.8
244,8.8,9.0,8.5,9.5,8.8,9.5,9.1
245,8.5,9.6,9.6,9.8,9.5,9.8,9.5
246,8.9,9.1,8.9,8.6,8.9,9.7,9.1
247,10.0,10.0,10.0,6.0,10.0,10.0,9.4
248,7.6,9.1,8.8,9.3,9.0,9.2,8.9
